80243,312799,5
1287135,312760,5
1045301,313374,2
1377995,313985,5
1373365,313001,2
1090011,313778,1
597974,314099,5
1209293,314694,3
37092,314767,4
1209293,314781,5
1146855,314844,2
1541101,315608,5
122209,315608,5
1209293,315608,5
651004,315756,5
298761,315776,5
974125,315195,3
572711,316891,5
183490,316140,4
1342308,316663,4
533705,318206,5
1333063,318154,5
691654,319464,4
668273,319331,4
1418916,319676,5
325849,319437,5
558535,319192,5
335280,320878,2
1356851,320784,5
660465,320283,5
965910,320283,5
555034,321109,4
201911,321579,5
1209293,321704,4
70994,322436,4
1209293,322160,5
488040,323967,4
287048,323967,3
1418222,323461,5
6179,324456,4
1160599,324432,4
435046,324668,5
1145334,325872,5
1481163,325522,4
22932,325415,5
114278,325934,5
1011478,325919,4
278442,326493,3
344875,326685,5
1071449,326493,4
1179643,326153,5
772892,326449,4
35623,326680,4
913587,329756,5
1209293,329335,5
1488149,330457,5
447149,330457,5
1430746,330100,5
892566,330723,5
653524,330195,5
1418222,331253,5
1209293,331025,5
1429099,331793,5
449927,332785,4
1209293,332908,5
1199593,334119,5
344523,333671,5
356991,333521,3
714315,333829,5
444187,334974,5
1514134,334223,5
848723,334974,5
1514134,334220,5
1179693,335845,5
883849,336418,5
371965,336492,4
635056,337747,5
317047,337822,3
411786,337998,5
1503668,341395,5
431741,342879,5
292239,343925,5
110363,344171,5
209987,344783,5
693650,345464,5
836493,345077,4
317047,345142,3
920120,345092,4
920120,345090,4
768098,346860,5
1139148,347863,5
388835,347612,5
1252275,348713,4
252943,348566,4
262773,348469,5
1145134,348786,5
1504718,348999,5
1240500,349296,5
206748,349246,4
1139148,349485,5
1021124,350002,5
862881,351391,4
1209293,352910,5
316354,352371,5
731575,353677,5
681681,353677,5
520397,354609,4
24300,355373,5
1492551,355292,4
1061589,355467,5
64093,355871,5
1306807,356105,5
73424,357259,4
1209293,358809,4
122209,359827,5
1209293,359827,5
1174700,359312,5
1541101,359827,5
815158,360111,5
364373,952,5
